session_id_group,session_start_url,num_total_events,num_page_visits,num_clicks,num_mouse_moves,num_mouse_moves_to_element,num_errors,session_duration_seconds,avg_time_between_clicks,total_mouse_dist_approx,avg_mouse_speed_approx,num_unique_element_tags,entropy_element_tags,num_a_tags_interacted,num_button_tags_interacted,num_input_tags_interacted,num_unique_urls_in_session,navigated_away_from_start_url,num_error_click_intercepted,num_error_no_clickables_found,num_error_http_read_timeout,net_total_requests_logged,net_num_get_requests,net_num_post_requests,net_num_put_requests,net_num_delete_requests,net_num_options_requests,net_num_head_requests,net_num_third_party_requests,net_num_first_party_requests,net_ratio_third_party_requests,net_num_unique_third_party_domains,net_num_post_to_third_party,net_num_body_to_third_party,net_num_suspicious_get_beacons_approx,net_num_2xx_responses,net_num_3xx_responses,net_num_4xx_responses,net_num_5xx_responses,net_num_json_responses,net_num_html_responses,net_num_javascript_responses,net_num_requests_with_referer,net_num_distinct_referers,net_num_cross_origin_referer
1,https://www.allrecipes.com/recipe/142027/sweet-restaurant-slaw/,3,1,1,0,1,0,39.701,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0,22,13,9,0,0,0,0,22,0,1.0,16,9,22,10,20,2,0,0,14,1,2,22,1,1
2,https://www.allrecipes.com/recipe/86662/worlds-best-potato-salad/,4,1,1,1,1,0,39.768,0.0,2.8284271247461903,0.0711231926359432,1,0.0,2,0,0,1,0,0.0,0.0,0.0,30,23,7,0,0,0,0,30,0,1.0,17,7,30,16,24,5,1,0,11,5,2,30,4,3
3,https://www.allrecipes.com/recipe/16080/judys-strawberry-pretzel-salad/,6,1,1,1,2,1,51.051,0.0,445.2204776010863,8.721092194101708,1,0.0,0,3,0,1,0,1.0,0.0,0.0,26,14,12,0,0,0,0,26,0,1.0,15,12,26,12,22,3,1,0,11,3,3,26,2,2
4,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/,3,1,1,0,1,0,38.692,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0,19,14,5,0,0,0,0,19,0,1.0,9,5,19,12,14,4,1,0,5,4,4,19,2,1
5,https://www.allrecipes.com/recipe/238423/dads-creamy-cucumber-salad/,7,1,0,0,3,3,63.42,0.0,655.0380294586331,10.328571893072109,2,0.6365141682948128,1,2,0,1,0,3.0,0.0,0.0,27,17,10,0,0,0,0,27,0,1.0,18,10,27,13,23,3,1,0,13,2,3,27,3,3
6,https://www.foodnetwork.com/recipes/photos/5-star-pasta-recipes,7,1,1,0,3,2,67.193,0.0,1566.1637508334402,23.30843615902609,3,1.039720770839918,2,1,0,2,1,2.0,0.0,0.0,154,102,52,0,0,0,0,154,0,1.0,53,52,154,60,97,50,4,3,16,59,24,154,17,114
7,https://www.foodnetwork.com/recipes/jeff-mauro/better-than-trendy-baked-tomato-and-feta-pasta-11459743,3,1,1,0,1,0,52.342,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0,79,49,30,0,0,0,0,79,0,1.0,32,30,79,33,69,8,2,0,13,24,15,79,7,44
8,https://www.foodnetwork.com/recipes/photos/ground-beef-recipes,7,1,2,0,3,1,87.396,27.775,1213.150466357559,13.881075407999898,2,0.6730116670092565,3,0,0,3,1,1.0,0.0,0.0,80,52,28,0,0,0,0,80,0,1.0,29,28,80,41,68,11,1,0,17,28,11,80,9,38
9,https://www.foodnetwork.com/recipes/photos/healthy-breakfasts,5,1,2,0,2,0,60.401,13.736,510.8681336705197,8.457941651140208,2,0.5623351446188083,3,0,0,2,1,0.0,0.0,0.0,139,96,43,0,0,0,0,139,0,1.0,53,43,139,59,103,32,3,1,24,33,27,139,10,88
10,https://www.foodnetwork.com/recipes/photos/smoothie-recipes,4,1,1,1,1,0,39.264,0.0,0.5,0.0127343113284433,1,0.0,2,0,0,1,0,0.0,0.0,0.0,95,57,38,0,0,0,0,95,0,1.0,30,38,95,43,87,6,2,0,19,27,15,95,8,45
11,https://www.bonappetit.com/recipe/dill-pickle-potato-salad,8,1,1,1,3,2,58.051,0.0,692.41767408025,11.92774756817712,1,0.0,4,0,0,1,0,2.0,0.0,0.0,176,116,60,0,0,0,0,176,0,1.0,48,60,176,77,139,37,0,0,24,41,24,176,12,106
12,https://www.bonappetit.com/recipe/easy-fluffy-pancakes,7,1,1,0,3,2,71.017,0.0,1142.0970164853911,16.082022846436644,3,1.039720770839918,2,1,0,2,1,2.0,0.0,0.0,52,31,21,0,0,0,0,52,0,1.0,22,21,52,16,49,3,0,0,8,2,19,52,1,3
13,https://www.bonappetit.com/recipe/london-broil-recipe,7,1,1,0,3,2,104.365,0.0,393.5242916009262,3.770653874392049,2,0.5623351446188083,3,0,0,2,1,2.0,0.0,0.0,52,31,21,0,0,0,0,52,0,1.0,22,21,52,17,49,3,0,0,9,2,19,52,1,4
14,https://www.bonappetit.com/recipe/easy-plum-tarts,7,1,2,0,3,1,131.022,52.064,204.82248411734489,1.5632678795724757,2,0.6730116670092565,3,0,0,3,1,1.0,0.0,0.0,47,29,18,0,0,0,0,47,0,1.0,20,18,47,24,45,2,0,0,8,1,18,47,1,2
15,https://www.bonappetit.com/recipe/crispy-rice-salad-spicy-tahini-dressing,3,1,0,0,1,1,34.791,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0,48,31,17,0,0,0,0,48,0,1.0,21,17,48,18,46,2,0,0,8,3,17,48,1,1
16,https://panlasangpinoy.com/categories/recipes/chicken-recipes/,5,1,2,0,2,0,162.354,78.934,30.504098085339287,0.1878863353249029,2,0.6931471805599453,2,0,0,3,1,0.0,0.0,0.0,181,112,69,0,0,0,0,181,0,1.0,51,69,181,57,142,37,2,0,51,45,14,181,17,77
17,https://panlasangpinoy.com/chicken-bistek/,3,1,1,0,1,0,81.628,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0,613,257,356,0,0,0,0,613,0,1.0,48,356,613,172,554,55,4,0,265,117,41,613,21,153
18,https://panlasangpinoy.com/filipino-chicken-ala-king/,6,1,1,1,2,1,54.181,0.0,993.4913275005993,18.33652622691717,1,0.0,3,0,0,1,0,1.0,0.0,0.0,302,105,197,0,0,0,0,302,0,1.0,36,197,302,77,282,18,2,0,144,49,24,302,13,56
19,https://panlasangpinoy.com/pork-ribs-caldereta/,3,1,1,0,1,0,49.868,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0,321,129,192,0,0,0,0,321,0,1.0,44,192,321,92,293,27,1,0,139,58,22,321,14,81
20,https://panlasangpinoy.com/categories/recipes/vegetable-recipes/,4,1,1,1,1,0,38.11,0.0,1.0,0.0262398320650747,1,0.0,2,0,0,1,0,0.0,0.0,0.0,95,44,51,0,0,0,0,95,0,1.0,27,51,95,32,87,7,1,0,48,7,12,95,7,12
21,https://panlasangpinoy.com/oven-roasted-asparagus/,3,1,1,0,1,0,51.547,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0,340,123,217,0,0,0,0,340,0,1.0,42,217,340,95,312,26,1,1,152,65,35,340,15,96
